Company,Country,Pavilion,Website,Activity (1 line),Products,Product categories (filters),Services,Service categories (filters),Target customers,Technologies,Technology categories (filters),Why target,Score,Source
Echodyne,USA,,http://www.echodyne.com/,Designs and manufactures MESA® electronically scanned radars for UAS detection and base protection.,MESA (Metamaterials Electronically Scanned Array) radars · EchoShield · Portable ISR radar systems,"Radars & traitement signal · Mâts, signalisation & balisage",Systems integration,Intégration de systèmes,"MoD / Armed Forces, Defense primes, Defense industrials",Radar (electronically scanned) · Metamaterials · Low-SWaP,"Radar (AESA, monopulse, …)","Specialized counter-UAS and force protection radar supplier, relevant for European defense equipment manufacturers seeking proven off-the-shelf radar technologies.",100,manual
EIZO Rugged Solutions,USA,,http://www.eizorugged.com/,Manufactures ruggedized LCD displays and GPU video processing boards for tactical C5ISR systems.,Ruggedized military LCD displays · XMC/VPX NVIDIA Jetson boards · Video encoder units · Radar processing solutions · Embedded PCIe GPU boards,Radars & traitement signal · Plateformes IA / vision défense,Systems integration · Engineering & consulting · Technical support,Intégration de systèmes · Ingénierie & conseil,"MoD / Armed Forces, Defense primes, Defense industrials",NVIDIA Jetson GPU · Open architectures (VITA/SOSA) · Embedded video processing · AI / machine learning,IA / machine learning,COTS supplier specializing in ruggedized electronics and GPU processors for C5ISR system integrators — eligible for aeronautical and naval defense procurement tenders.,100,manual
Ensign-Bickford Aerospace & Defense,USA,,http://www.ebad.com/,"Designs and manufactures advanced explosives (Primacord detonating cord), demolition charges, and ammunition for the US defense market and export.",Primacord detonating cord · military demolition explosives · electronic fuzes,Explosifs & matériaux énergétiques · Munitions petit/moyen calibre,EOD training · OEM supply,Formation & entraînement · Sous-traitance industrielle,"MoD / Armed forces, Defense industrialists, Export / international",energetic materials,Matériaux énergétiques,US specialist in breaching explosives and EOD — supplier for ammunition primes and special operations forces.,100,manual
ENSTROM HELICOPTER CORPORATION,USA,,http://www.enstromhelicopter.com/,"Manufactures light helicopters (480B turbine, 280FX/F28F piston) for law enforcement, gendarmerie, and border surveillance.",480B helicopter (turbine) · 280FX helicopter (piston) · F28F helicopter (piston),"Mâts, signalisation & balisage",Maintenance and technical support · Pilot training · After-sales service,MCO / MRO · Formation & entraînement,"MoD / Armed forces, Civil security",Turbine and piston powerplants,Autre — à qualifier,"Direct military aircraft manufacturer — seller of aerial platforms for gendarmerie and customs services; potential partner for payload integrators (optronics, intelligence).",100,manual
FMS USA,USA,,https://www.fms.co.il/,"Manufactures UD-Aramid and UD-Polyethylene ballistic panels for body armor, vehicle armor, and civilian/military protection.",Soft UD-Aramid panels · Hard UD-Polyethylene panels · Multi-curve ballistic plates · Vehicle armor composite kits · Armor for civilian and military vehicles,"Gilets & plaques pare-balles · Matériaux composites & blindage · Mâts, signalisation & balisage","Ballistic testing (NIJ, HOSDB, STANAG, VPAM) · Custom solution development",Certification & tests,"Defense primes, MoD / Armed Forces, Civil security, Defense industrials",UD-Aramid (Unidirectional) · UD-Polyethylene (Unidirectional) · Ballistic composite materials,Matériaux composites,"Supplier of ballistic raw materials (aramid, polyethylene) for body armor and armor OEMs — access to the European personal and vehicle protection equipment market.",100,manual
G. W. Lisk,USA,,https://www.gwlisk.com/,"Manufactures solenoids, solenoid valves, position sensors, and flame arrestors for aircraft control systems and military equipment.",Custom solenoids · Solenoid valves · Position sensors · Flame arrestors · Integrated smart solutions,"Mâts, signalisation & balisage",Custom engineering & design · Testing & validation,Ingénierie & conseil,"Defense primes, Defense industrialists",Automation · Electromechanical control,Autre — à qualifier,Supplier of critical electromechanical components for aircraft and defense systems — potential access to European military aeronautical primes and avionics system integrators.,100,manual
General Atomics,USA,,https://www.ga.com/about/ems,"Designs and manufactures naval aircraft launch and recovery systems (EMALS, AAG) and advanced weapons for military naval and defense applications.",Electromagnetic Aircraft Launch System (EMALS) · Advanced Arresting Gear (AAG) · Missile defense systems · Compact satellites · High-power capacitors · Motor/generator systems · Battery and power source systems,Satellites & CubeSats · Missiles & armements guidés · Pièces mécaniques & usinage,Concept-to-orbit engineering (satellites) · Defragmentation and disposal of hazardous waste · Precision machining,Ingénierie & conseil · Sous-traitance industrielle,"MoD / Armed Forces, Defense primes, Defense industrialists",Electromagnetism · Space systems · Electrical energy management,Autre — à qualifier,US manufacturer of critical naval and missile defense systems — potential partner or competitor in technology transfer for European primes.,100,manual
General Inspection,USA,,https://www.geninsp.com/,"Manufactures 100% quality control systems (vision, eddy current, laser) for ammunition and aeronautical components.",Gi-360T · Gi-720 · VisionLab · Gi-100DT · Gi-636v · NCTP-200 · NCTP-300 · ARIS,"Mâts, signalisation & balisage",Automated inspection and sorting · Dimensional inspection,Sous-traitance industrielle,"Defense primes, Defense manufacturers",Computer vision · Eddy current · Laser inspection,Vision par ordinateur · Lidar / Laser,Critical supplier of quality control machinery for cartridge plants and aeronautical fastener factories — potential partner for French defense subcontractors.,100,manual
Gentex Corporation | Ops-Core,USA,,http://www.gentexcorp.com/,"Designs and manufactures advanced helmet systems, integrated communications, and respiratory protection solutions for defense forces.",Advanced tactical helmet systems · Integrated communication equipment · Respiratory protection solutions · Hearing protection equipment,"Mâts, signalisation & balisage",Systems integration · Technical support,Intégration de systèmes,"MoD / Armed Forces, Defense primes",Tactile electronics · Digital communication systems · Protective materials,Autre — à qualifier,Leading manufacturer of helmets and personal protective equipment for armed forces — strategic supplier for Ministries of Defense and European defense primes.,100,manual
GLADIATOR TECHNOLOGIES,USA,,https://gladiatortechnologies.com/,Manufactures MEMS inertial sensors and navigation systems for high-performance military aeronautics and defense applications.,MEMS inertial sensors · Inertial navigation systems · Accelerometers · Gyroscopes,Autre — à qualifier,Engineering & consulting,Ingénierie & conseil,"MoD / Armed Forces, Defense prime contractors, Defense industrials",MEMS sensors · Inertial systems,MEMS & capteurs miniaturisés,"Supplier of critical components for navigation and guidance systems — potential access to aeronautical defense prime contractors (helicopters, drones, missiles).",100,manual
H3D,USA,,http://www.h3dgamma.com/,Designs and manufactures radiation detectors and CBRNe solutions for defense and security.,radiation detectors · personal dosimeters · gamma spectrometers,Explosifs & matériaux énergétiques,certification / testing,Certification & tests,"MoD / Armed Forces, Civil security, Export / international",CBRN detection,Filtration NRBC,Competitor in radiological detection — partner for CBRN primes and dirty-threat protection programs.,100,high
HP INC.,USA,,http://www.hp.com/,Designs additive manufacturing solutions for the defense and aeronautics industries.,additive manufacturing machines · metal AM platforms · AM industrialization software · metal powder raw materials,Cybersécurité (logiciels & appliances),engineering / consulting · training,Ingénierie & conseil · Formation & entraînement,"Defense primes, Defense industrials, Export / International, MoD / Armed Forces",additive manufacturing · composite materials,Fabrication additive · Matériaux composites,Competitor in the AM machinery segment — partner for primes seeking to industrialize metal 3D printing for critical spare parts.,100,medium
"HUBER+SUHNER, Inc.",USA,,https://www.hubersuhner.com/,"Manufactures certified cables, connectors, antennas and optical/RF assemblies for critical communication and data systems in military aviation.",Electrical/optical cables and connectors · RF antennas · Pre-wired assemblies · Lightning protection · Resistive components,Antennes & infrastructures RF,Systems integration · Certification & testing,Certification & tests · Intégration de systèmes,"Defense primes, Defense industrials",Optical connectivity · High-performance RF systems,Communications RF / micro-ondes,Critical supplier of electro-optical passive components for aeronautical and defense system integrators — partner for onboard communication chain integration.,100,manual
"IMSAR, LLC",USA,,https://www.imsar.com/,Manufactures lightweight multi-mode radars (NSP-2 to NSP-8) for tactical drones and all-weather intelligence aircraft.,NSP-2 radars · NSP-3 radars · NSP-5 radars · NSP-7 radars · NSP-8 radars · SAR imagery processing solutions,Autre — à qualifier,Sensor integration,Intégration de systèmes,"MoD / Armed Forces, Defence primes","Radar (AESA, monopulse) · Infrared imaging",Imagerie infrarouge,Critical radar sensor supplier for tactical aerial drones — potential partner for European UAS system integrators and ISR aircraft platforms.,100,manual
"Inertial Labs, a VIAVI Solutions Company",USA,,http://www.intertiallabs.com/,"Designs and manufactures GPS-aided inertial measurement units (IMU, AHRS) for drones, vehicles and missiles.",Inertial Labs MEMS inertial measurement units · AHRS for drones · INS-D high-precision inertial navigation systems,Avionique & instruments embarqués,Platform integration · Technical support,Intégration de systèmes,"Defense primes, Defense industrials, Export / international",Inertial navigation · MEMS gyroscopes · GNSS / satellite navigation,Navigation inertielle · MEMS & capteurs miniaturisés · GNSS / navigation satellite,"US competitor in MEMS IMU (vs Honeywell, Northrop Grumman) — supplier for drones, guided missiles and UGV platforms.",100,manual
Kaleo,USA,,https://www.kaleo.com/,Designs and manufactures auto-injectors (Aerio platform) for chemical antidotes and military emergency treatments.,Aerio auto-injectors · Emergency medical countermeasures · Auto-injection devices for antidotes,Autre — à qualifier,Pharma-defense R&D partnership · Medical device manufacturing · Drug-device engineering,Ingénierie & conseil,"MoD / Armed Forces, Civil security",Human factors engineering · Actuated precision mechanisms,Autre — à qualifier,Specialized auto-injector supplier for CBRN countermeasures and medical emergencies — potential partner for armed forces seeking automated injection systems for armored environments.,100,manual
KEARFOTT CORPORATION,USA,,https://www.kearfott.com/,"Designs and manufactures inertial measurement units, navigation systems (AHRS, INS), and flight control servo systems for missiles, aircraft, and military vehicles.","Inertial Measurement Units (IMU) · Navigation systems (AHRS, INS) · Servo systems and flight control · Position sensors (LVDT, RVDT) · Actuators and motors",Missiles & armements guidés,MCO / technical support · Maintenance and repair · System integration,Intégration de systèmes · MCO / MRO,"MoD / Armed Forces, Defense primes, Defense industrials",Inertial navigation · Missile guidance · Flight control,Navigation inertielle,Critical US supplier of precision navigation and inertial guidance for aeronautical and missile programs — potential access through European partners and NATO contracts.,100,manual
L3Harris Technologies,USA,,http://www.l3harris.com/,"Designs and manufactures integrated multi-domain defense systems (space, air, land, sea, cyber).",Night Vision Goggles · AERIS X (Airborne Early Warning & Control) · Air defense systems · Missile solutions · Communication systems,Optronique & viseurs (EO/IR) · Cybersécurité (logiciels & appliances),Systems integration · Engineering & consulting · Operational support,Intégration de systèmes · Ingénierie & conseil,"MoD / Armed Forces, Defense prime contractors, Defense industry",Night vision (EO/IR) · Airborne surveillance and reconnaissance (AEW&C) · Air defense systems · Cybersecurity,IA / machine learning · Cybersécurité · Imagerie infrarouge,"Major American prime integrator of multi-domain defense systems — key strategic supplier for prime contractors and European allied forces in ISR, missiles, and cyber.",100,manual
Laser Techniques Company,USA,,https://www.laser-ndt.com/,Designs laser bore mapping and cannon barrel inspection systems for defense and aeronautics.,Laser bore mapping systems · Laser barrel inspection systems · Laser measurement stations for tubes,Armes lourdes & systèmes de tir · Optronique & viseurs (EO/IR),On-site inspection · Custom measurement engineering,Certification & tests · Métrologie & essais matériaux,"MoD / Armed Forces, Defense primes, Defense industrials, Export / international",Laser metrology · Optical profilometry · Non-destructive inspection · 3D image processing,Lidar / Laser · Optique de précision,Niche US supplier for cannon bore and artillery tube inspection — potential partner for armament MRO and ammunition primes.,100,manual
Leonardo DRS,USA,,http://www.leonardodrs.com/,"Designs and manufactures defense electronic systems (IR sensors, countermeasures, optronics, naval power) for the US DoD.",naval IR pods · DIRCM countermeasure systems · EOTAS ground optronics · naval generator sets · Mast-Mounted sights,Navires & sous-systèmes navals · Optronique & viseurs (EO/IR) · Groupes électrogènes & énergie tactique,platform integration · electronic systems MRO,Intégration de systèmes · MCO / MRO,"MoD / Armed Forces, Defense primes, Export / international",infrared imaging · electronic warfare · inertial navigation,Imagerie infrarouge · Guerre électronique (EW) · Navigation inertielle,"US subsidiary of Leonardo — Tier-1 Pentagon supplier (US Army, Navy, Marines) for IR sensors and countermeasures.",100,manual
"Leupold & Stevens, Inc.",USA,,https://www.leupold.com/,"Designs and manufactures precision riflescopes and optical sights for shooting sports, law enforcement, and armed forces.",Mark 5HD riflescopes · VX-6HD riflescopes · Mark 8 sights · LTO Tracker thermal monoculars · DeltaPoint Pro red dot sights,Optiques d'armes (viseurs) · Vision nocturne & jumelles,,,"MoD / Armed Forces, Civil security, Export / international",precision optics · illuminated reticles · infrared imaging,Optique de précision · Imagerie infrarouge,"Direct US competitor in precision sniper scopes (vs Schmidt & Bender, Nightforce, Steiner) and potential buyer of optomechanical components.",100,manual
LMT DEFENSE,USA,,http://www.lmtdefense.com/,"Manufactures modular weapons systems (AR-15, CNC-machined parts) for the US Army, federal law enforcement, and allied forces.",AR-15 modular weapons systems and variants · Precision-machined parts (weapon components) · Machined military components,Pièces mécaniques & usinage,CNC mechanical machining · Weapons systems engineering,Sous-traitance industrielle · Ingénierie & conseil,"MoD / Armed Forces, Defense prime contractors",Precision CNC machining,Autre — à qualifier,US industrial subcontractor specializing in critical machined components for armament — potential partner for access to US and international markets (NATO allies).,100,manual
"MACK DEFENSE, LLC",USA,,https://www.mackdefense.com/,"Distributes Mack and Volvo military trucks (CTT, MTT, Granite, Tanker) to Ministries of Defense and global armed forces.",Common Tactical Truck (CTT) tactical trucks · Medium Tactical Truck (MTT) · Granite (heavy dump truck) · Wrecker · Troop Carrier · Tanker · Line Haul (logistics transport),Autre — à qualifier,Government customer support · Spare parts and aftermarket · Logistics support,Distribution & représentation · MCO / MRO,"MoD / Armed Forces, Export / international",Optimized Mack diesel powertrain · Lightweight architecture and fuel efficiency · Militarized commercial platform,Autre — à qualifier,Direct Mack Trucks supplier for ministerial defense markets worldwide — access to NATO and allied tactical programs.,100,manual
Mantis,USA,,https://www.mantisx.com/,"Manufactures dry-fire training systems (MantisX, Blackbeard, TitanX) with laser feedback and mobile app for civilian shooters and law enforcement.",MantisX Systems · Blackbeard · BlackbeardX · TitanX · TOR-X · Mantis Laser Academy,"Mâts, signalisation & balisage",Shooting training & instruction,Formation & entraînement,"Civil security, Export / international",Mobile application · Training laser,Lidar / Laser,US manufacturer of shooting equipment — access to the European civilian security and law enforcement market via local distribution/partnership or representation.,100,manual
Markforged,USA,,http://markforged.com/,"Designs and manufactures metal and composite 3D printers (Mark Two, X7) for military point-of-use manufacturing.",Mark Two composite printer · X7 printer · Metal X printer (metal FFF),"Matériaux composites & blindage · Mâts, signalisation & balisage",additive manufacturing training · technical support · parts qualification,Formation & entraînement · Certification & tests,"MoD / Armed Forces, Defense primes, Defense industrials",additive manufacturing,Fabrication additive,US manufacturer of metal 3D printers — key supplier for deployed workshops and additive MRO for armed forces.,100,manual
Marposs,USA,,http://www.marposs.com/,Manufactures measurement and process control systems for aerospace-defense machining.,Precision measurement systems · Gauges and sensors · Compensation systems · Leak testing equipment · Automated control solutions,"Pièces mécaniques & usinage · Mâts, signalisation & balisage",Measurement system integration · Technical support and consultancy,Intégration de systèmes · Ingénierie & conseil,"Defense primes, Defense industrials",Optical imaging and sensors · Precision electronics · Industrial automation,Autre — à qualifier,"Critical equipment supplier for aerospace-defense machining lines (fuel, hydraulic) — key partner for qualification and traceability of precision parts.",100,manual
Microsoft,USA,,http://www.microsoft.com/,"Publishes cloud platforms, productivity software, and AI services for enterprises and the public sector.",Microsoft 365 · Azure · Windows · Surface · Copilot · Teams · Dynamics 365 · Power Platform · Xbox,Cybersécurité (logiciels & appliances),Cloud computing · Generative AI · Technical support · Digital consulting,Intégration de systèmes · Ingénierie & conseil,"MoD / Armed Forces, Defense primes, Civil security, Defense manufacturers",AI / machine learning · Cybersecurity · Cloud,IA / machine learning · Cybersécurité,Publisher of critical IT and cloud systems for European defense administrations and manufacturers.,100,manual
"Molex, LLC.",USA,,http://www.molex.com/,"Designs and manufactures ruggedized connectors and interconnect solutions for military aerospace, naval, and ground applications.",Molex military connectors · Aerospace harnesses · High-reliability RF connectors,Connectique & câblage durcis,OEM supply · Application engineering,Sous-traitance industrielle · Ingénierie & conseil,"Defense primes, Defense industrials, Export / international",Mil-grade connectivity,Autre — à qualifier,"Global Tier-1 connector supplier — direct competitor to ITT Cannon, Amphenol, and TE Connectivity.",100,manual
MOOG INC.,USA,,https://www.moog.com/,"Manufactures precision actuation systems (servovalves, motors, hydraulic actuators) and piping for military aircraft, satellites and launch vehicles.",Servovalves and proportional valves · Hydraulic and electric actuators · Motors and servomotors · Weapon management systems · Satellite pressure vessels,Satellites & CubeSats · Servomoteurs & motion control précision · Hydraulique & motion control,Systems integration · Engineering & consulting · MCO / MRO,Ingénierie & conseil · Intégration de systèmes,"Defense prime contractors, MoD / Armed Forces, Defense industrials, Export / International",Hydraulic motion control · Aerospace automation,Hydraulique haute performance,Critical supplier of hydraulic components for weapon systems and aerospace platforms — essential partner for European defense prime contractors for sourcing and co-development.,100,manual
MSI Defense Solutions,USA,,http://www.msidefense.com/,"Integrates suspension systems, electronic command and control, communications, and C-UAS systems for vehicles and US Army defense programs.",Mechanical suspension systems · Command & control integrations · Communications infrastructure · Anti-drone (C-UAS) integrations,Systèmes anti-drone (C-UAS),Systems integration · Mechanical and electronic engineering · Accelerated design and engineering,Intégration de systèmes · Ingénierie & conseil,"MoD / Armed Forces, Defense primes",Embedded electronics · Mechatronics · Anti-drone systems,Autre — à qualifier,"US systems integrator (FFL Level 9) — indirect prospect for mechatronic modules, joint MoD tenders, or European defense partnerships.",100,manual
New Use Energy,USA,,http://www.newuseenergy.com/,Manufactures ruggedized portable power stations and reinforced solar panels for military vehicles and operations.,Ruggedized portable power stations · Tactical solar panels · Integrated solar + battery systems,Autre — à qualifier,Custom design for military platforms,Autre — à qualifier,"MoD / Armed Forces, Defense primes",Ruggedized lithium battery · Portable solar panels,Énergie portative & piles à combustible,American specialized power source supplier for vehicles and tactical operations — potential partner for European integrators or customer for forward logistics supply chains.,100,manual
NEXTDYN SYSTEMS,USA,,https://www.nextdynsystems.com/,Manufactures and operates 155 mm shell production lines (MIL-SPEC / NATO STANAG certified) for US and NATO allied armies.,155 mm artillery shells · Ammunition production facilities · Ballistic quality control systems,"Munitions gros calibre & obus · Pièces mécaniques & usinage · Mâts, signalisation & balisage",Ammunition plant design and construction · Volume production and surge capacity · MIL-SPEC prototyping and qualification,Intégration de systèmes · Sous-traitance industrielle · Certification & tests,"MoD / Armed Forces, Defense primes, Defense industrials",Advanced automation · Digital and radiographic quality control · Deterministic ballistic testing,Autre — à qualifier,Certified producer of critical NATO ammunition — direct contact for 155 mm shell sourcing and allied supply chain opportunities.,100,manual
nLight,USA,,https://www.nlight.net/,Manufactures high-power semiconductor fiber lasers (300kW+) for directed energy systems (DoD HELSI) and military detection applications.,High-power semiconductor fiber lasers · Additive lasers · Specialized optical fibers,Optronique & viseurs (EO/IR),,,"MoD / Armed Forces, Defense prime contractors, Defense industry",Semiconductor lasers · Directed energy (DEW) · Advanced optics,Imagerie infrarouge · IA / machine learning,Direct DoD supplier in critical laser weapon technology — access to OUSD R&E budgets and defense prime system integrators for platform energy efficiency.,100,manual
Octane Wireless,USA,,http://www.octanewireless.com/,"Manufactures high-performance antennas and RF fiber optic links for drones, tactical radios, and C3ISR systems.","UAS/drone antennas (lightweight blades, optimized studs) · Tactical and low-profile vehicle antennas (VHF–S band) · Portable antennas (gooseneck, spring, rigid, handheld) · RF fiber optic links (up to 50 GHz, EW/SIGINT)",Autre — à qualifier,Engineering & consulting · Systems integration,Ingénierie & conseil · Intégration de systèmes,"MoD / Armed Forces, Defense primes, Defense industrials",Radio frequencies & antennas · RF fiber optics · C3ISR,Communications RF / micro-ondes · Photonique & fibres optiques,US-based manufacturer specializing in UAS antennas and tactical transmission systems — potential supplier for drone and C3ISR programs serving European armed forces and defense primes.,100,manual
Ondas,USA,,https://www.ondas.com/,"Develops autonomous drones (American Robotics, Airobotics) and private wireless networks for aerial intelligence and military/law enforcement counter-UAV.","Autonomous drones (American Robotics, Airobotics) · Private wireless networks (Ondas Networks) · Counter-drone systems (Counter-UAV) · AI data fusion platform · Inspection solutions (pipelines, railways)",Autre — à qualifier,Autonomous systems integration · Critical network deployment · Operational support,Intégration de systèmes · Distribution & représentation,"MoD / Armed Forces, Civil security, Defence industrials",Autonomous drones (vision and detection) · Private wireless networks · Artificial intelligence (ISR fusion) · Anti-UAV countermeasures,IA / machine learning,US provider of UAS and mission-critical networks — partner or competitor for autonomous equipment and secure connectivity to European armed forces and law enforcement.,100,manual
OSCILLOQUARTZ,USA,,https://www.oscilloquartz.com/en,"Designs and manufactures precision oscillators and atomic clocks for telecommunications, defense, and satellite navigation.",atomic oscillators · reference clocks · network synchronization,Satellites & CubeSats,integration · calibration,Intégration de systèmes,"Defense primes, Defense industrials",atomic clocks · synchronization,Autre — à qualifier,"Global niche leader in atomic clocks — strategic supplier for Galileo primes, military GPS, and phased-array radars.",100,manual
"Quickset Defense Technologies, LLC",USA,,https://www.quickset.com/,"Manufactures precision pan-tilt positioners, CUAS surveillance systems (Taurus-R), and OGI thermal cameras for customs, border police, and critical infrastructure.",Taurus-R Camera System (dual HD-SDI with co-located radar) · EXO GeminEye-OGI (thermal gas detection camera) · Pan & Tilt Positioners (high-precision 2-axis) · Tracking Systems · Reinforced tripods and surveillance masts,Optronique & viseurs (EO/IR),"System integration (modulation, configuration, upgrade) · Technical support and maintenance assistance · Custom solutions for extreme environments",Intégration de systèmes,"MoD / Armed Forces, Civil Security","Infrared imaging (OGI) · Optronics (HD-SDI, IP video) · Control electronics (motion control)",Imagerie infrarouge,US manufacturer of optronic surveillance systems already deployed with CBP/DHS — partner or direct competitor for European police/border and critical infrastructure markets.,100,manual
Research Electronics International,USA,,http://www.reiusa.net/,"Designs and manufactures TSCM equipment (counter-espionage, eavesdropping detection) for intelligence agencies and armed forces.",OSCOR detectors · covert transmission detectors · CMA counter-espionage tools,"Mécanique de transmission · Représentation institutionnelle (cluster, fédération, chambre)",TSCM training · sweep audits,Formation & entraînement,"MoD / Armed Forces, Civil security, Export / international",RF / microwave · TSCM,Communications RF / micro-ondes,"Global TSCM reference — essential supplier to intelligence agencies (CIA, MI6, DGSE).",100,manual
Reveal Technology,USA,,https://www.revealtech.ai/,"Develops 3D AI solutions (Farsight, Identifi) for tactical intelligence and multimodal biometrics for operators in communications-denied environments.",Farsight (real-time 2D/3D mapping from surveillance video) · Identifi (tactical multimodal biometrics) · Chronos,Cybersécurité (logiciels & appliances) · Optronique & viseurs (EO/IR),AI/computer vision integration for situational awareness,Intégration de systèmes,"MoD / Armed Forces, Civil security",AI / Computer Vision · 3D modeling · Multimodal biometrics,IA / machine learning,US software company specializing in AI decision-support tools for disconnected environments — natural target for industrial partnership and European defense certification.,100,manual
REVISION MILITARY LTD,USA,,http://revisionmilitary.com/,"Designs and manufactures ballistic eye protection (eyewear, masks) for military personnel and law enforcement.",Sawfly ballistic eyewear · Stingerhawk eyewear · tactical masks · respiratory devices,Missiles & armements guidés,OEM supply,Sous-traitance industrielle,"MoD / Armed Forces, Civil security, Export / international","ballistic materials (UHMWPE, ceramics)","Matériaux balistiques (UHMWPE, céramiques)","Competitor in ballistic eyewear (vs. Wiley X, Oakley SI) — major soldier equipment supplier to the US Army and allies.",100,manual
RTX,USA,,http://www.rtx.com/,"Designs and manufactures aircraft, engines, missiles, radars, and integrated defense systems for military and civilian customers.",Aeronautical engines (Pratt & Whitney) · Aerospace systems (Collins Aerospace) · Integrated defense systems (Raytheon) · Missiles and weapons systems · Radars and defense electronics,Missiles & armements guidés · Radars & traitement signal · Plateformes IA / vision défense,Engineering & consulting · MCO / MRO · Systems integration,Ingénierie & conseil · MCO / MRO · Intégration de systèmes,"MoD / Armed Forces, Defense primes, Defense industrialists, Export / international",Jet engines · Composable weapons systems · Applied artificial intelligence · Air defense (Patriot) · Embedded avionics,IA / machine learning,Major American defense prime integrator — strategic partner for large contracts and technology subcontracting in Europe through its divisions.,100,manual
SCHROTH SAFETY PRODUCTS.,USA,,http://www.schroth.com/,"Manufactures occupant restraint systems and harnesses for military aircraft, helicopters, and armored vehicles.",Occupant restraint systems · Aeronautical harnesses · Ejection seats and safety systems,"Véhicules blindés · Matériaux composites & blindage · Mâts, signalisation & balisage",Engineering & consulting · Certification & testing,Ingénierie & conseil · Certification & tests,"Defense primes, MoD / Armed Forces, Defense industrials",Composite materials · Safety engineering,Matériaux composites,Equipment supplier specialized in restraint systems for military platforms — potential partner for European defense aerospace integrators and MoD contracts.,100,manual
SealingTech,USA,,https://www.sealingtech.com/,Manufactures modular cyber defence kits (Cyber-Fly-Away Kits) and edge servers (AegisEdge) for US federal agencies.,Cyber-Fly-Away Kits · AegisEdge MicroServers · Operator X (software),Cybersécurité (logiciels & appliances),Automated kit deployment · Mission-ready support · Operational cyber consulting,Intégration de systèmes · Ingénierie & conseil,"MoD / Armed forces, Defence primes",Cybersecurity · Edge computing,Cybersécurité,Specialist cyber and ruggedised server supplier for US armed forces — potential partner for system integration or European distribution.,100,manual
Shield AI,USA,,http://shield.ai/,Develops AI and sensor fusion solutions for defense.,AI automatic detection modules · sensor fusion software · tactical AI platforms,Plateformes IA / vision défense · Logiciels métier défense (autres),,,"MoD / Armed Forces, Defense primes, Civil security, Export / international",AI / vision · computer vision,IA / machine learning · Vision par ordinateur,AI gem — partner for optronics primes and ISR integrators seeking real-time automatic detection building blocks.,100,medium
SIG SAUER,USA,,http://www.sigsauer.com/,"Manufactures pistols, rifles, ammunition and optical sights (P320, MCX, suppressors) for US armed forces and civilian/government customers.","Pistols (P320, P226, P229) · Rifles (MCX, SIG716) · Service ammunition · Optical sights and suppressors · Weapons training equipment",Optronique & viseurs (EO/IR),Weapons training and instruction · Technical assistance · Distribution,Formation & entraînement · Distribution & représentation,"MoD / Armed Forces, Defense prime contractors",Small-calibre weapon systems,Autre — à qualifier,"Leading American small arms manufacturer for military and security forces — potential customer for optronics integrations, machined components or European export partnerships.",100,manual
Silvus Technologies Inc.,USA,,https://silvustechnologies.com/,"Designs and manufactures MIMO tactical radios (StreamCaster SL5200, SM5200) for data/video/voice communications in degraded military and law enforcement environments.",StreamCaster SL5200 · StreamCaster SM5200 · StreamCaster SC4200EP · StreamCaster SC4400E · StreamCaster NEXUS · StreamCaster PRISM · StreamCaster TRINITY,"Radios tactiques & SDR · Mâts, signalisation & balisage",Systems integration · Training & instruction · Technical support · Product demonstrations,Intégration de systèmes · Formation & entraînement · Distribution & représentation,"MoD / Armed Forces, Civil security, Defense industrials",MIMO (Mobile-Networked MIMO) · Electromagnetic interference resilience · Ad hoc networks (MANET),Autre — à qualifier,Critical supplier of MIMO tactical radios — potential partner for French forces seeking robust communications in areas without standard network coverage.,100,manual
SKYDIO,USA,,https://www.skydio.com/,"Manufactures autonomous drones (Skydio X10, X2D) for emergency response (DFR), critical infrastructure inspection, and tactical reconnaissance (ISR) for gendarmerie, firefighters, and civil security.",Skydio X10 (multi-sensor autonomous drone) · Skydio X2D (compact tactical drone) · DFR Command (DFR mission management software) · Axon integration platform,Drones aériens (UAV),DFR mission software · Integration with emergency services (112) and security forces · Operator training,Intégration de systèmes · Formation & entraînement,"Civil security, MoD / Armed Forces, Defense primes",AI / autonomous flight · Multi-sensor EO/IR imaging,IA / machine learning,Dominant US player in autonomous civil drones for first responders and tactical ISR — direct competitor and potential partner for Franco-European integrators in light defense.,100,manual
"SRC, INC",USA,,http://www.srcinc.com/,"Develops radar systems, electronic warfare and ISR collection capabilities for allied armed forces; military manufacturing through SRCTec.",Innovative radar systems · Electronic warfare systems · ISR collection and analysis solutions,Radars & traitement signal · Systèmes de guerre électronique (EW),Research & development · Military manufacturing · Life-cycle support,MCO / MRO,"MoD / Armed Forces, Defence manufacturers",Radar · Electronic Warfare (EW) · Intelligence collection (ISR),"Radar (AESA, monopulse, …)",Established US multi-domain R&D and manufacturing actor present in the UK/Canada — potential partner for co-development or European distribution of radar/EW solutions.,100,manual
